"timeStamp","URL","blogName","title","tags","body"
"2023-03-18 09:10:53 GMT","https://pukicho.tumblr.com/post/712120104629026816/okay-really-rate-the-mona-lisa-out-of-10","pukicho","","[]","Okay really, rate the mona lisa out of 10"
"2023-03-18 00:13:04 GMT","https://pukicho.tumblr.com/post/712086267792408576/pukicho-lunasgraey-pukicho-i-hate-basic","pukicho","","[]","lunasgraey:

pukicho:

  I hate basic babies. Goo goo gaa gaa, stacking blocks and shit, listen to aphex twin 

Weren’t you a basic baby once?

I ate a cricket, I was hardcore .

that’s badass"
"2023-03-18 00:03:58 GMT","https://pukicho.tumblr.com/post/712085695416631296/i-hate-basic-babies-goo-goo-gaa-gaa-stacking","pukicho","","[]","I hate basic babies. Goo goo gaa gaa, stacking blocks and shit, listen to aphex twin"
"2023-03-17 04:15:51 GMT","https://pukicho.tumblr.com/post/712010945791164416/lavendorii-pukicho-shout-out-to-corrupt","pukicho","","[]","lavendorii:

pukicho:

  Shout out to corrupt politicians !!!!

why is there so much hate in your heart…

I am so sorry, I will never talk about how much I love corrupt politicians ever again."
"2023-03-17 04:13:35 GMT","https://pukicho.tumblr.com/post/712010802536775680/shout-out-to-corrupt-politicians","pukicho","","[]","Shout out to corrupt politicians !!!!"
"2023-03-15 22:20:34 GMT","https://pukicho.tumblr.com/post/711897995780734976/have-faith-in-me","pukicho","","[]","0ryza13:

pukicho:

somedankpenguin:

pukicho:

If I ran a zoo, i would allow my guests to hang out with the animals, I think it would generate a lot of interest into my zoo. 

Would your guests be the animals lol, guaranteed lawsuit otherwise

Have faith in me

I mean this is the whole point of petting zoos. So really it just depends what kind of animals you’ve got in mind.

Have faith in me"
"2023-03-15 20:58:22 GMT","https://pukicho.tumblr.com/post/711892823971151872/if-i-ran-a-zoo-i-would-allow-my-guests-to-hang","pukicho","","[]","If I ran a zoo, i would allow my guests to hang out with the animals, I think it would generate a lot of interest in my zoo."
"2023-03-14 10:29:30 GMT","https://pukicho.tumblr.com/post/711762661978882048/the-orcs-and-the-lizard-folk-have-decided-on","pukicho","","[]","The orcs and the lizard-folk have decided on peace, now is the time for us gnomes to rise"
"2023-03-14 10:28:13 GMT","https://pukicho.tumblr.com/post/711762581837234176/comedy-is-tragedy-boioioiiingg","pukicho","","[]","pukicho:

Comedy is tragedy 

BOIOIOIIINGG"
"2023-03-14 10:27:06 GMT","https://pukicho.tumblr.com/post/711762511334178816","pukicho","","[]","lunaticobscurity:

yeahiwasintheshit:"
"2023-03-09 20:00:35 GMT","https://pukicho.tumblr.com/post/711345607146668032/snurm-pukicho","pukicho","","[]","snurm:

pukicho:

  TZZZZZZZZZzzzzzzzzZZZzzzZZZzZzzzZZZZZZzzzzZZZZZZ you can hear this in your brain rn, I am shooting pure electricity into you brain, listen, this isn’t a joke listen TzzzzzzZZZZzzzzzzZZZzzzzzzzzzzzzzzzzzZZZZZZzzzZZZ

Holy shit!!!
This is awesome for you. This is awesome for you."
"2023-03-09 19:56:06 GMT","https://pukicho.tumblr.com/post/711345324922404864/tzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz","pukicho","","[]","TZZZZZZZZZzzzzzzzzZZZzzzZZZzZzzzZZZZZZzzzzZZZZZZ you can hear this in your brain rn, I am shooting pure electricity into you brain, listen, this isn’t a joke listen TzzzzzzZZZZzzzzzzZZZzzzzzzzzzzzzzzzzzZZZZZZzzzZZZ"
"2023-03-08 04:58:00 GMT","https://pukicho.tumblr.com/post/711198224905617408/go-echo-kid-pukicho-i-love-making-shit-up-and","pukicho","","[]","go-echo-kid:

pukicho:

  I love making shit up and lying to people and never telling them the truth 

How do we know you’re not making this up too?

Because I am also very honest"
"2023-03-08 04:07:37 GMT","https://pukicho.tumblr.com/post/711195054601060352/i-love-making-shit-up-and-lying-to-people-and","pukicho","","[]","I love making shit up and lying to people and never telling them the truth"
"2023-03-07 04:50:46 GMT","https://pukicho.tumblr.com/post/711107172436705280/heyhh-hey-i-have-the-fanatec-dd1-racing-rig","pukicho","","[]","heyhH hey i have the fanatec DD1 racing rig wheelbase and r300 wheel I am looking to sell it to someone on the west coast who is an enthusiast about racing!!! Its hard to sell without shipping costs getting high across the country so I’m asking here!!!!

ALSO i have a schitt lyr 3 with tube to sell if ur an audiophile looking for WARMTH"
"2023-03-07 04:19:19 GMT","https://pukicho.tumblr.com/post/711105193744465920/hhhhhheyyryhhhhhhhghghraggggggggggh","pukicho","","[]","HHHHHHEYYRYHHHHHHHGHGHRAGGGGGGGGGGH"
"2023-03-07 03:01:10 GMT","https://pukicho.tumblr.com/post/711100276992557056/what-should-i-draw","pukicho","","[]","what should I draw"
"2023-03-02 21:21:08 GMT","https://pukicho.tumblr.com/post/710716496224141312","pukicho","","['YEAH!']","toki-wren:

pukicho:

If i could replace all porn on the internet with scary ghost pictures i would"
"2023-03-02 20:10:29 GMT","https://pukicho.tumblr.com/post/710712051097550848/if-i-could-replace-all-porn-on-the-internet-with","pukicho","","[]","If i could replace all porn on the internet with scary ghost pictures i would"
"2023-03-02 11:20:06 GMT","https://pukicho.tumblr.com/post/710678682575011840/positivementalaxolotl-pukicho-no-pain-no-gain","pukicho","","[]","positivementalaxolotl:

pukicho:

  no pain no gain"" is coping cause I’m comfy and they’re not

Who exactly is “they” Puki?

Idk hard workers? healthy people? Fuck em."
"2023-03-02 08:17:47 GMT","https://pukicho.tumblr.com/post/710667211458691072/no-pain-no-gain-is-coping-cause-im-comfy-and","pukicho","","[]","no pain no gain"" is coping cause I’m comfy and they’re not"
"2023-03-02 01:29:27 GMT","https://pukicho.tumblr.com/post/710641522177097728/pukicho-ahh-i-hope-i-dont-slip-and-fall-and","pukicho","","[]","Ahh I hope I don’t slip and fall and accidentally beat the shit outta everyone"
"2023-02-27 21:27:51 GMT","https://pukicho.tumblr.com/post/710445127383007232/spoopy-chipster-pukicho-b-why-does-this","pukicho","","['because fuck the universe']","spoopy-chipster:

pukicho:

  b

why does this have over 1,500 notes"
"2023-02-26 10:10:12 GMT","https://pukicho.tumblr.com/post/710311896464670720/b","pukicho","","[]","b"
"2023-02-25 10:39:47 GMT","https://pukicho.tumblr.com/post/710223160937693184/when-something-bad-happens-in-front-of-me-i-like","pukicho","","[]","When something bad happens in front of me I like standing at a distance and occasionally going “Yeesh!” or “YIKES!”. its my small way of helping."
"2023-02-24 19:41:55 GMT","https://pukicho.tumblr.com/post/710166672327229440/pukicho-this-one-is-for-the-minecraft-fans","pukicho","","[]","This one is for the minecraft fans. This is what I think would happen if Minecraft Steve saw a round person. He would be so scared he’d try to kill it in fear."
"2023-02-23 12:45:57 GMT","https://pukicho.tumblr.com/post/710049904218800128/if-your-ui-doesnt-look-like-this-i-am-not-playing","pukicho","","[]","If your UI doesn’t look like this

I am not playing your game"
"2023-02-22 08:14:21 GMT","https://pukicho.tumblr.com/post/709942219798347776/maryslittlehoard-pukicho-slug-growth-is-up","pukicho","","[]","maryslittlehoard:

pukicho:

  slug growth is up 20% perrcent 

Are you jealous?

I fucking hate tumblr"
"2023-02-22 07:58:40 GMT","https://pukicho.tumblr.com/post/709941233651466240/slug-growth-is-up-20-perrcent","pukicho","","[]","slug growth is up 20% perrcent"
"2023-02-22 00:47:13 GMT","https://pukicho.tumblr.com/post/709914089063890944/how-do-i-remove-this-tumblr-live-thing-i-dont","pukicho","","[]","How do I remove this tumblr live thing,. I don’t want to see theses little creatures"
"2023-02-21 19:45:58 GMT","https://pukicho.tumblr.com/post/709895135776980992/pukicho-pukicho-i-looked-up-my-name-on-google","pukicho","","[]","pukicho:

I looked up my name on google because I’m a freak and there are so many, so so many FAKE SHIRTS???

Who are these fucking people.

They clearly ripped the image directly from my tumblr post or something, without upscaling it so it looks all blurry and muddy. Who is buying knockoff pukicho merch?? I am not popular enough to deserve this much knockoff merch.

Anyways if u want the real shirt HERE, please don’t buy these I think you will lose your identity. 

  Hey guys here’s my cool new exclusive shirt, be sure not to copy it and sell it on your store and make millions of dollars, this is my unique design 

Because of my doctors vs furries post, keep up"
